key_mlbam,name_first,name_last,full_name
114755,paul,gibson,paul gibson
113816,rube,ellis,rube ellis
519071,rey,navarro,rey navarro
819383,henry,gillespie,henry gillespie
121415,josé,román,josé román
124692,cy,young,cy young
665561,rafael,marchán,rafael marchán
663656,kyle,tucker,kyle tucker
124346,wash,williams,wash williams
663986,trevor,stephan,trevor stephan
124712,bobby,young,bobby young
818424,honey,lott,honey lott
110489,tom,baker,tom baker
124585,craig,worthington,craig worthington
115530,mickey,harris,mickey harris
110504,jeff,baldwin,jeff baldwin
519082,nick,noonan,nick noonan
113874,joe,erautt,joe erautt
818594,eddie,klep,eddie klep
500765,dayán,díaz,dayán díaz
817932,martin,oliver,martin oliver
115630,andy,hawkins,andy hawkins
434438,billy,buckner,billy buckner
116602,joe,johnson,joe johnson
123707,dave,veres,dave veres
113136,peaches,davis,peaches davis
425477,robb,quinlan,robb quinlan
124584,al,worthington,al worthington
817581,pedro,regalado,pedro regalado
506642,j. l.,wilkinson,j. l. wilkinson
150153,nelson,figueroa,nelson figueroa
623454,drew,anderson,drew anderson
816680,jess,welch,jess welch
122326,tod,sloan,tod sloan
518614,daniel,descalso,daniel descalso
818950,red,howard,red howard
110856,ray,benge,ray benge
818935,charles,hudson,charles hudson
407862,reed,johnson,reed johnson
818987,johnny,holmes,johnny holmes
680572,adam,kloffenstein,adam kloffenstein
123796,rick,waits,rick waits
113011,bill,daley,bill daley
114054,jack,feller,jack feller
570488,phillips,valdéz,phillips valdéz
110149,jamie,allen,jamie allen
116803,jim,kaat,jim kaat
117003,joe,keough,joe keough
455976,nick,markakis,nick markakis
818268,frank,mcallister,frank mcallister
118803,warren,mclaughlin,warren mclaughlin
643289,mauricio,dubón,mauricio dubón
425880,joe,hietpas,joe hietpas
116216,wilbur,howard,wilbur howard
120333,dickey,pearce,dickey pearce
120029,peaches,o'neill,peaches o'neill
123947,mike,warren,mike warren
117061,gene,kimball,gene kimball
275932,dernell,stenson,dernell stenson
110981,lou,bierbauer,lou bierbauer
120248,lance,parrish,lance parrish
120244,josé,parra,josé parra
820381,jesse,briscoe,jesse briscoe
116918,mick,kelleher,mick kelleher
277414,chris,gissell,chris gissell
124491,mike,witt,mike witt
124761,bob,zick,bob zick
118690,dan,mcgee,dan mcgee
112320,dave,clark,dave clark
502210,josh,reddick,josh reddick
112274,loyd,christopher,loyd christopher
119165,rudy,minarcin,rudy minarcin
608331,max,fried,max fried
115133,tom,grieve,tom grieve
819151,neal,harris,neal harris
115196,ernie,groth,ernie groth
121716,rich,sauveur,rich sauveur
434538,francisco,liriano,francisco liriano
427415,gary,rausch,gary rausch
110719,don,baylor,don baylor
124281,nick,willhite,nick willhite
131701,rich,croushore,rich croushore
607374,nick,tropeano,nick tropeano
121012,rich,reese,rich reese
113761,sherman,edwards,sherman edwards
116160,oscar,horstmann,oscar horstmann
641438,shane,carle,shane carle
492505,bobby,magallanes,bobby magallanes
116812,don,kainer,don kainer
115723,woodie,held,woodie held
407891,kevin,mench,kevin mench
820542,joe,bell,joe bell
593428,xander,bogaerts,xander bogaerts
476454,dellin,betances,dellin betances
473265,josé,de la torre,josé de la torre
112413,brad,clontz,brad clontz
817088,manuel,stewart,manuel stewart
116278,jim,hughes,jim hughes
636643,tim,clodjeaux,tim clodjeaux
110074,bob,addy,bob addy
118013,scott,lusader,scott lusader
111375,al,braithwood,al braithwood
114910,chile,gómez,chile gómez
121967,duke,sedgwick,duke sedgwick
543942,rob,wooten,rob wooten
113846,luis,encarnación,luis encarnación
118179,fritz,maisel,fritz maisel
118862,herb,mcquaid,herb mcquaid
110842,jack,bellman,jack bellman
112065,larry,carter,larry carter
123164,bill,taylor,bill taylor
817301,jimmy,shamberger,jimmy shamberger
818942,c.,hubert,c. hubert
111726,mike,burke,mike burke
572143,burch,smith,burch smith
453181,matt,laporta,matt laporta
112671,claude,corbitt,claude corbitt
819764,martín,dihigo,martín dihigo
118196,jerry,mallett,jerry mallett
116266,nat,hudson,nat hudson
446345,michael,taylor,michael taylor
122074,al,shaw,al shaw
124725,sal,yvars,sal yvars
111543,drummond,brown,drummond brown
489231,john,raynor,john raynor
113429,lester,dole,lester dole
110677,john,bates,john bates
119886,frank,oberlin,frank oberlin
113215,bill,dekoning,bill dekoning
121141,len,rice,len rice
113880,hank,erickson,hank erickson
122498,bernie,snyder,bernie snyder
594840,matt,grace,matt grace
337392,britt,reames,britt reames
111291,billy,bowers,billy bowers
817319,dick,seay,dick seay
494884,luis,natera,luis natera
592348,niko,goodrum,niko goodrum
671922,cade,smith,cade smith
110172,doug,allison,doug allison
116498,ray,jarvis,ray jarvis
115841,josé,herrera,josé herrera
819921,alex,crumbley,alex crumbley
543434,brett,lawrie,brett lawrie
119618,hi,myers,hi myers
668964,tobias,myers,tobias myers
664129,geoff,hartlieb,geoff hartlieb
502609,danny,herrera,danny herrera
115347,marc,hall,marc hall
112341,bob,clark,bob clark
118030,jerry,lynch,jerry lynch
676962,ben,brown,ben brown
816557,lem,williams,lem williams
642092,riley,smith,riley smith
122696,dave,staton,dave staton
819218,eppie,hamilton,eppie hamilton
681885,evan,lee,evan lee
150470,tom,davey,tom davey
816741,willie,ward,willie ward
121984,kip,selbach,kip selbach
111907,lou,camilli,lou camilli
122542,elías,sosa,elías sosa
545348,austin,maddox,austin maddox
592865,taylor,williams,taylor williams
120967,randy,ready,randy ready
119567,pat,murphy,pat murphy
119861,rafael,novoa,rafael novoa
474892,chris,carter,chris carter
118230,ángel,mangual,ángel mangual
117475,dick,lange,dick lange
434639,scott,munter,scott munter
115911,pinky,higgins,pinky higgins
117870,howard,lohr,howard lohr
118432,eddie,matteson,eddie matteson
122524,julio,solano,julio solano
818100,bill,monroe,bill monroe
119402,bugs,bennett,bugs bennett
112660,walker,cooper,walker cooper
445104,brad,salmon,brad salmon
118164,al,mahon,al mahon
118141,mike,magnante,mike magnante
523253,logan,forsythe,logan forsythe
121048,bobby,reis,bobby reis
650347,luís,madero,luís madero
681481,kerry,carpenter,kerry carpenter
114760,george,gick,george gick
669160,dustin,may,dustin may
120912,ken,ramos,ken ramos
427323,leo,mazzone,leo mazzone
123094,tony,tarasco,tony tarasco
571868,marc,krauss,marc krauss
111580,oliver,brown,oliver brown
121273,skipper,roberts,skipper roberts
123513,jim,turner,jim turner
117235,dick,kokos,dick kokos
117269,bill,koski,bill koski
120319,mike,paxton,mike paxton
124043,carl,weilman,carl weilman
113088,mark,davidson,mark davidson
818548,john,latting,john latting
115805,ubaldo,heredia,ubaldo heredia
475174,yonder,alonso,yonder alonso
110277,wyman,andrus,wyman andrus
114267,jocko,flynn,jocko flynn
111847,enos,cabell,enos cabell
115367,charlie,hallstrom,charlie hallstrom
117027,rick,kester,rick kester
112610,owen,conway,owen conway
121184,fred,rico,fred rico
819649,jim,elam,jim elam
819749,eddie,dixon,eddie dixon
113813,bob,elliott,bob elliott
116846,bill,karlon,bill karlon
120895,gary,rajsich,gary rajsich
622497,miguel,gómez,miguel gómez
111529,bob,brower,bob brower
641447,daniel,castano,daniel castano
112197,frank,chapman,frank chapman
115328,bob,hale,bob hale
122582,glenn,spencer,glenn spencer
111574,marty,brown,marty brown
150194,beiker,graterol,beiker graterol
116415,mike,ivie,mike ivie
407828,matthew,cepicky,matthew cepicky
113496,tom,dougherty,tom dougherty
660431,hector,perez,hector perez
112884,ed,crowley,ed crowley
641943,joshua,palacios,joshua palacios
114559,bob,gamble,bob gamble
114861,jim,gleeson,jim gleeson
283210,adam,hyzdu,adam hyzdu
110075,morrie,aderholt,morrie aderholt
819111,charley,hayes,charley hayes
674635,chris,ruiz,chris ruiz
111632,george,brunet,george brunet
112910,al,cuccinello,al cuccinello
113542,delos,drake,delos drake
122703,bill,stearns,bill stearns
119822,gary,nolan,gary nolan
492514,rouglas,odor,rouglas odor
