catcher_id,target_base,pop_time
686780,2B,1.935
663743,2B,1.948
656577,2B,1.952
666310,2B,1.972
543432,2B,2.047
665804,2B,2.0
592592,2B,2.095
660688,2B,2.042
150229,2B,
650968,2B,2.1
519390,2B,2.103
488671,2B,2.015
690924,2B,1.95
605421,2B,1.978
457454,2B,2.09
446192,2B,2.045
657136,2B,1.926
542963,2B,2.01
656627,2B,1.92
460026,2B,2.018
492802,2B,1.987
672515,2B,1.908
665861,2B,
689414,2B,1.99
571657,2B,2.07
669450,2B,2.08
668939,2B,1.935
606988,2B,1.968
489232,2B,1.985
606992,2B,1.919
664850,2B,2.05
572180,2B,2.255
576788,2B,2.01
543510,2B,2.005
592663,2B,
643348,2B,2.055
680728,2B,2.04
571679,2B,2.12
642336,2B,1.935
624419,2B,1.883
642851,2B,1.983
696100,2B,1.97
595751,2B,1.963
664874,2B,1.984
502570,2B,1.985
425772,2B,2.062
460077,2B,1.942
657709,2B,2.08
624431,2B,2.04
518960,2B,2.012
643376,2B,1.999
542513,2B,2.07
668974,2B,1.92
656180,2B,1.954
425784,2B,1.943
430910,2B,2.23
488771,2B,2.011
643396,2B,2.03
645444,2B,
691011,2B,1.94
592200,2B,2.026
680777,2B,1.985
691016,2B,1.97
680779,2B,1.89
669004,2B,2.035
663886,2B,1.985
506702,2B,1.991
681807,2B,1.955
644433,2B,1.918
671056,2B,1.992
608596,2B,2.041
595284,2B,1.974
516949,2B,2.03
664926,2B,2.01
657247,2B,1.97
682848,2B,1.88
547172,2B,1.973
446308,2B,2.064
686948,2B,1.96
435559,2B,2.06
543592,2B,1.974
488810,2B,2.07
665966,2B,1.92
519023,2B,2.037
543089,2B,2.01
686452,2B,1.917
435064,2B,2.073
516472,2B,2.05
664954,2B,2.057
506747,2B,2.007
650619,2B,1.98
572287,2B,1.99
624512,2B,1.962
624513,2B,2.057
434563,2B,2.085
641924,2B,1.95
424325,2B,1.95
640902,2B,1.93
434567,2B,2.06
681351,2B,2.045
641929,2B,2.09
661388,2B,1.967
553869,2B,
456078,2B,1.945
594828,2B,2.03
518542,2B,1.983
600466,2B,1.99
686482,2B,1.87
425877,2B,1.981
489365,2B,2.16
600474,2B,1.973
553882,2B,2.021
620443,2B,1.944
669087,2B,1.973
454560,2B,
663967,2B,1.99
502182,2B,2.08
666023,2B,1.91
541608,2B,2.07
519083,2B,2.02
425900,2B,2.03
543148,2B,2.05
